Абабкова Ксения Семеновна, 6, 9, 3, 9, 3
Абаджян Герман Марселевич, 7, 5, 8, 8, 10
Абаулин Константин Петрович, 5, 6, 7, 9, 10
Абаянцева Галина Вадимовна, 2, 7, 8, 10, 8
Аббясова Дарья Тимуровна, 6, 6, 9, 10, 6
Аббясова Любовь Михаиловна, 8, 8, 2, 2, 8
Абдразакова Виктория Анатольевна, 7, 7, 4, 9, 5
Абдрафикова Елизавета Валентиновна, 2, 6, 2, 1, 10
Абдрахманова Валерия Романовна, 9, 5, 7, 5, 9
Абдрашитов Илья Аркадьевич, 4, 4, 10, 1, 7
Абдужабарова Диана Дамировна, 8, 6, 4, 3, 5
Абдукаримов Иван Степанович, 5, 3, 4, 8, 2
Абдуллаева Валерия Николаевна, 1, 9, 5, 2, 10
Абдуллина Алиса Федоровна, 6, 6, 2, 5, 5
Абдурагимов Вадим Альбертович, 3, 2, 8, 7, 4
Абдюшев Олег Аркадьевич, 1, 4, 4, 7, 3
Абелев Леонид Петрович, 2, 2, 6, 5, 4
Абельханова Алина Рамилевна, 5, 1, 10, 1, 6
Абжалилова Ирина Руслановна, 7, 6, 9, 4, 7
Абзалимова Ольга Дамировна, 9, 8, 4, 3, 2
Абин Аркадий Михаилович, 1, 8, 10, 3, 2
Абисов Вадим Маратович, 3, 9, 9, 6, 8
Абисов Григорий Станиславович, 3, 1, 6, 5, 8
Абисова Евгения Робертовна, 6, 7, 7, 8, 3
Абитова Надежда Ивановна, 9, 7, 1, 6, 8
Абишев Тимофей Константинович, 1, 5, 5, 2, 10
Аблязовский Рамиль Андреевич, 8, 6, 4, 2, 1
Аболенцева Лидия Германовна, 3, 2, 3, 1, 6
Аболихин Виталий Андреевич, 7, 7, 7, 9, 3
Абраменко Альберт Станиславович, 2, 1, 9, 1, 4
Абраменко Виктория Сергеевна, 7, 10, 3, 4, 3
Абрамчик Ефим Васильевич, 8, 8, 7, 9, 8
Абхазов Егор Анатольевич, 5, 9, 10, 2, 1
Абшарова Дарья Владимировна, 4, 3, 8, 7, 4
Абшарова Елена Глебовна, 10, 1, 1, 10, 8
Авалова Вероника Георгиевна, 8, 5, 9, 10, 2
Авдишева Мария Дмитриевна, 3, 8, 8, 6, 5
Авдушева Яна Антоновна, 3, 9, 2, 8, 1
Авдюничева Вероника Павловна, 2, 1, 5, 9, 1
Авдюшенко Виталий Ярославович, 1, 7, 10, 1, 10
Аверенкова Маргарита Максимовна, 2, 9, 4, 2, 7
Аверкиев Роман Яковлев, 7, 1, 8, 10, 1
Аверкина Любовь Тимуровна, 2, 4, 1, 6, 9
Аветисов Данил Сергеевич, 4, 10, 2, 1, 2
Авилин Георгий Юрьевич, 7, 6, 8, 5, 10
Авинова Галина Эдуардовна, 8, 3, 7, 5, 2
Авксентюк Егор Германович, 5, 8, 3, 10, 10
Авр Петр Андреевич, 5, 10, 2, 8, 3
Аврамова Римма Александровна, 9, 9, 6, 6, 6
Авросимов Анатолий Витальевич, 3, 4, 1, 8, 6
Авсеенко Римма Тимофеевна, 1, 1, 2, 10, 1
Автурханова Элина Руслановна, 4, 6, 8, 2, 6
Автухов Степан Антонович, 6, 5, 2, 9, 7
Агабекова Валерия Константиновна, 7, 9, 2, 5, 2
Агаджанов Евгений Анатольевич, 1, 6, 2, 9, 5
Агамамедова Ангелина Глебовна, 6, 2, 4, 7, 6
Агаханова Лариса Рамилевна, 5, 6, 9, 8, 8
Агеев Дамир Егорович, 5, 6, 8, 6, 8
Агеносов Павел Кириллович, 8, 3, 5, 3, 4
Агешин Алексей Ильич, 8, 4, 4, 1, 5
Агишина Валентина Марселевна, 9, 6, 1, 9, 2
Аглинцев Иван Филиппович, 2, 3, 1, 10, 2
Агрест Владимир Анатольевич, 3, 3, 9, 10, 5
Агупова Олеся Ивановна, 8, 1, 9, 6, 9
Адаменко Иван Федорович, 6, 6, 8, 4, 9
Адамовский Виталий Дмитриевич, 7, 6, 8, 10, 2
Адамовский Радик Иванович, 7, 2, 10, 9, 6
Адасовский Руслан Борисович, 6, 10, 8, 5, 2
Адеева Валентина Ильинична, 5, 7, 2, 9, 1
Адельфинский Степан Романович, 8, 9, 3, 3, 5
Адельханова Лидия Николаевна, 2, 8, 6, 6, 1
Адмаева Анастасия Яновна, 5, 4, 4, 2, 6
Адонкина Елена Ивановна, 5, 1, 2, 9, 6
Адоньев Глеб Дмитриевич, 2, 3, 9, 5, 2
Ажаева Ольга Дмитриевна, 6, 2, 2, 8, 3
Азанова Валерия Анатольевна, 7, 7, 2, 9, 7
Азаренок Ринат Тимофеевич, 5, 9, 10, 9, 9
Азаркина Юлия Дмитриевна, 7, 1, 4, 1, 5
Азарх Артур Леонидович, 3, 6, 8, 10, 9
Азбукина Виктория Олеговна, 6, 6, 8, 6, 1
Азева Валентина Станиславовна, 10, 9, 7, 4, 10
Азерникова Мария Денисовна, 6, 1, 3, 9, 6
Азовкина Валерия Юрьевна, 4, 6, 9, 7, 3
Азовская Виктория Марселевна, 3, 7, 7, 3, 10
Азымов Данил Денисович, 1, 10, 7, 5, 6
Аитов Борис Григорьевич, 9, 10, 7, 10, 2
Айбулатов Георгий Степанович, 8, 9, 10, 6, 7
Айвазова Олеся Сергеевна, 3, 9, 5, 3, 7
Айгустов Марсель Александрович, 3, 5, 2, 3, 6
Айзенбарт Валентин Степанович, 9, 1, 2, 10, 6
Айрапетян Семен Эдуардович, 8, 6, 7, 6, 10
