Абабкова Ксения Семеновна: 6.00
Абаджян Герман Марселевич: 7.60
Абаулин Константин Петрович: 7.40
Абаянцева Галина Вадимовна: 7.00
Аббясова Дарья Тимуровна: 7.40
Аббясова Любовь Михаиловна: 5.60
Абдразакова Виктория Анатольевна: 6.40
Абдрафикова Елизавета Валентиновна: 4.20
Абдрахманова Валерия Романовна: 7.00
Абдрашитов Илья Аркадьевич: 5.20
Абдужабарова Диана Дамировна: 5.20
Абдукаримов Иван Степанович: 4.40
Абдуллаева Валерия Николаевна: 5.40
Абдуллина Алиса Федоровна: 4.80
Абдурагимов Вадим Альбертович: 4.80
Абдюшев Олег Аркадьевич: 3.80
Абелев Леонид Петрович: 3.80
Абельханова Алина Рамилевна: 4.60
Абжалилова Ирина Руслановна: 6.60
Абзалимова Ольга Дамировна: 5.20
Абин Аркадий Михаилович: 4.80
Абисов Вадим Маратович: 7.00
Абисов Григорий Станиславович: 4.60
Абисова Евгения Робертовна: 6.20
Абитова Надежда Ивановна: 6.20
Абишев Тимофей Константинович: 4.60
Аблязовский Рамиль Андреевич: 4.20
Аболенцева Лидия Германовна: 3.00
Аболихин Виталий Андреевич: 6.60
Абраменко Альберт Станиславович: 3.40
Абраменко Виктория Сергеевна: 5.40
Абрамчик Ефим Васильевич: 8.00
Абхазов Егор Анатольевич: 5.40
Абшарова Дарья Владимировна: 5.20
Абшарова Елена Глебовна: 6.00
Авалова Вероника Георгиевна: 6.80
Авдишева Мария Дмитриевна: 6.00
Авдушева Яна Антоновна: 4.60
Авдюничева Вероника Павловна: 3.60
Авдюшенко Виталий Ярославович: 5.80
Аверенкова Маргарита Максимовна: 4.80
Аверкиев Роман Яковлев: 5.40
Аверкина Любовь Тимуровна: 4.40
Аветисов Данил Сергеевич: 3.80
Авилин Георгий Юрьевич: 7.20
Авинова Галина Эдуардовна: 5.00
Авксентюк Егор Германович: 7.20
Авр Петр Андреевич: 5.60
Аврамова Римма Александровна: 7.20
Авросимов Анатолий Витальевич: 4.40
Авсеенко Римма Тимофеевна: 3.00
Автурханова Элина Руслановна: 5.20
Автухов Степан Антонович: 5.80
Агабекова Валерия Константиновна: 5.00
Агаджанов Евгений Анатольевич: 4.60
Агамамедова Ангелина Глебовна: 5.00
Агаханова Лариса Рамилевна: 7.20
Агеев Дамир Егорович: 6.60
